,,,,,Rad,Temp,RH,Wind
YY,MM,DD,HH,MIN,J/m^2/s,Deg,%,m/s
2016,7,30,13,0,133.33333333333334,22.5,57,3.2000000000000002
2016,7,30,14,0,115.55555555555556,24.100000000000001,53,2.8999999999999999
2016,7,30,15,0,119.72222222222223,24.600000000000001,50,2.7999999999999998
2016,7,30,16,0,76.666666666666671,24.199999999999999,53,2.7000000000000002
2016,7,30,17,0,52.222222222222221,23.800000000000001,57,2.3999999999999999
2016,7,30,18,0,29.166666666666668,22.5,61,3
2016,7,30,19,0,0.83333333333333337,21.100000000000001,68,4.0999999999999996
2016,7,30,20,0,0,19.699999999999999,68,4.7000000000000002
2016,7,30,21,0,0,18.899999999999999,71,4.5999999999999996
2016,7,30,22,0,0,17.600000000000001,81,6
2016,7,30,23,0,0,19.100000000000001,73,5.7000000000000002
2016,7,31,0,0,0,17,82,5.5
2016,7,31,1,0,0,17.699999999999999,80,4.5999999999999996
2016,7,31,2,0,0,16.899999999999999,92,4.2000000000000002
2016,7,31,3,0,0,16.300000000000001,97,4.4000000000000004
2016,7,31,4,0,0,15.800000000000001,97,3.3999999999999999
2016,7,31,5,0,2.7777777777777777,15.300000000000001,98,2.7000000000000002
2016,7,31,6,0,8.3333333333333339,15.5,95,1.3
2016,7,31,7,0,25.277777777777779,16.199999999999999,94,1.2
2016,7,31,8,0,3.8888888888888888,15.5,99,2.1000000000000001
2016,7,31,9,0,35.277777777777779,16,96,2.7000000000000002
2016,7,31,10,0,76.944444444444443,16.199999999999999,90,2.5
2016,7,31,11,0,102.22222222222223,15.9,80,2.7999999999999998
2016,7,31,12,0,71.111111111111114,17.399999999999999,75,3.2999999999999998
2016,7,31,13,0,98.611111111111114,17.5,70,3.7000000000000002
2016,7,31,14,0,59.444444444444443,17.100000000000001,65,3.5
2016,7,31,15,0,43.888888888888886,16.800000000000001,72,6
2016,7,31,16,0,12.222222222222221,16.600000000000001,70,2.7000000000000002
2016,7,31,17,0,34.722222222222221,15.199999999999999,83,3
2016,7,31,18,0,11.944444444444445,15.300000000000001,77,2.5
2016,7,31,19,0,0.83333333333333337,14.6,78,2.5
2016,7,31,20,0,0,13.300000000000001,86,2.8999999999999999
2016,7,31,21,0,0,13.300000000000001,86,3.7999999999999998
2016,7,31,22,0,0,13,87,3.8999999999999999
2016,7,31,23,0,0,11.199999999999999,96,4.2999999999999998
2016,8,1,0,0,0,11.699999999999999,91,5.5
2016,8,1,1,0,0,10.9,93,5.5999999999999996
2016,8,1,2,0,0,9.8000000000000007,98,6.0999999999999996
2016,8,1,3,0,0,9.9000000000000004,98,5
2016,8,1,4,0,0,9.3000000000000007,99,5.4000000000000004
2016,8,1,5,0,14.166666666666666,9.9000000000000004,97,6.0999999999999996
2016,8,1,6,0,21.388888888888889,13.199999999999999,81,4.2999999999999998
2016,8,1,7,0,73.888888888888886,14.199999999999999,77,4.0999999999999996
2016,8,1,8,0,36.111111111111114,14.6,71,3.6000000000000001
2016,8,1,9,0,37.5,16.100000000000001,65,2.6000000000000001
2016,8,1,10,0,77.777777777777771,16.699999999999999,54,1.3
2016,8,1,11,0,30.555555555555557,17.600000000000001,46,2.1000000000000001
2016,8,1,12,0,61.666666666666664,17.199999999999999,47,1.2
2016,8,1,13,0,131.38888888888889,19.399999999999999,40,1.3999999999999999
2016,8,1,14,0,125,19.199999999999999,35,0.80000000000000004
2016,8,1,15,0,115.83333333333333,18.899999999999999,43,1.8999999999999999
2016,8,1,16,0,68.611111111111114,19.699999999999999,43,1.6000000000000001
2016,8,1,17,0,53.333333333333336,19.300000000000001,43,1.3
2016,8,1,18,0,14.722222222222221,18.199999999999999,49,2.3999999999999999
2016,8,1,19,0,0.27777777777777779,15.6,61,1.3
2016,8,1,20,0,0,13,77,1.2
2016,8,1,21,0,0,13.1,71,2.7999999999999998
2016,8,1,22,0,0,12.300000000000001,76,3.7999999999999998
2016,8,1,23,0,0,14.800000000000001,62,4.5999999999999996
2016,8,2,0,0,0,15.6,59,4.2999999999999998
2016,8,2,1,0,0,15.9,56,4.4000000000000004
2016,8,2,2,0,0,15,62,3.7000000000000002
2016,8,2,3,0,0,14.800000000000001,64,3.7999999999999998
2016,8,2,4,0,0,14.5,69,2.6000000000000001
2016,8,2,5,0,1.9444444444444444,13.5,80,2.2999999999999998
2016,8,2,6,0,11.388888888888889,13.199999999999999,83,2
2016,8,2,7,0,16.111111111111111,14,81,2.2000000000000002
